Opportunity Category,Gender,Country,Institution Name,Current/Intended Major,Status Description,SignUp_Year,SignUp_Month,SignUp_Day,Age,Opportunity_Duration,Churn
Course,1,Pakistan,Nwihs,Radiology,Started,2023,6,14,24,604,1
Course,1,India,Saint Louis,Information Systems,Started,2023,5,1,25,604,1
Course,1,United States,Saint Louis University,Information Systems,Team Allocated,2023,8,29,26,604,1
Course,2,United States,Saint Louis University,Computer Science,Started,2023,1,6,25,604,1
Course,2,India,Saint Louis University,Mechanical Engineering,Waitlisted,2024,3,2,29,604,1
Course,2,India,Illinois Institute Of Technology,Computer Science and Engineering,Withdraw,2023,5,31,24,604,1
Course,1,United Arab Emirates,Gems New Millennium School Al Khail,Artificial Intelligence,Team Allocated,2023,7,22,19,604,1
Course,2,India,Ashoka Academy,Robotics and Automation Engineering,Started,2023,3,20,20,604,1
Course,1,India,Illinois Institute Of Technology,Computer Science,Team Allocated,2023,5,11,27,604,1
Course,1,Nigeria,Federal University  Lokoja,Data Visualization,Team Allocated,2023,9,4,27,604,1
Course,1,Nigeria,Bestower International University,Business Administration,Started,2023,1,28,28,604,1
Course,2,United States,Saint Louis University,Public Health,Team Allocated,2023,8,18,27,604,1
Course,2,Egypt,Abu Dhabi University,Architecture,Started,2023,6,14,28,604,1
Course,2,Nepal,Islington College,Computer Science and Information Systems,Started,2023,1,5,27,604,1
Course,1,India,Akal University,Computer Science and Information Systems,Started,2023,3,16,21,604,1
Course,1,United States,Saint Agnes Academy,Biology,Team Allocated,2023,10,31,19,604,1
Course,1,India,Saint Louis University,Information Systems,Team Allocated,2023,8,8,26,604,1
Course,1,Nigeria,Delta State University  Abraka,Economics,Team Allocated,2023,8,15,24,604,1
Course,1,Kenya,Kenya Utalii College,Oth,Started,2023,3,29,31,604,1
Course,1,Nigeria,Umaru Musa Yaradua University Katsina  Nigeria,Mathematics,Team Allocated,2023,7,8,31,604,1
Course,2,United States,Saint Louis University,Bioinformatics,Team Allocated,2023,10,16,24,604,1
Course,2,India,V. K. R  V. N. B & A. G. K College Of Engineering,I Am Major,Started,2023,5,5,28,604,1
Course,1,India,Narayana,Biomedical Engineering,Started,2023,5,9,20,604,1
Course,1,India,Jawaharlal Nehru Technological University,Computer Science and Information Systems,Started,2023,1,5,24,604,1
Course,2,United States,Saint Louis University,Information Systems,Team Allocated,2023,9,15,24,604,1
Course,2,Nigeria,Ambassadors College Ile Ife,Electrical and Electronic Engineering,Started,2023,3,17,20,604,1
Course,2,United States,Saint Louis University,Information Systems,Waitlisted,2023,9,19,26,604,1
Course,2,Nigeria,Federal University Of Maiduguri,Business and Management Studies,Started,2023,2,21,27,604,1
Course,1,Pakistan,The University Of Lahore,Public Health,Started,2023,3,26,27,604,1
Course,1,Pakistan,University Of Punjab,Electrical and Computer Engineering,Team Allocated,2023,8,17,24,604,1
Course,1,United States,Saint Louis University,Information Systems,Team Allocated,2023,8,19,26,604,1
Course,2,Ghana,Christian Service University College,Accounting and Finance,Team Allocated,2024,2,8,34,604,1
Course,2,Zambia,Kasiya College,Secretarial,Started,2023,5,11,24,604,1
Course,1,India,Srm University,Data Science,Started,2023,6,14,23,604,1
Course,1,Ghana,Kwame Nkrumah University Of Science And Technology (Knust),Statistics,Started,2023,6,15,26,604,1
Course,2,India,Gitam University,Computer Science and Information Systems,Team Allocated,2023,2,23,25,604,1
Course,1,United States,Illinois Institute Of Technology,Biomedical Engineering,Team Allocated,2023,11,9,22,604,1
Course,2,India,Dhanekula Institute Of Engineering And Technology,Electronics and Communication,Started,2023,6,17,24,604,1
Course,1,United States,Saint Louis University,Computer Information Systems,Team Allocated,2023,8,24,24,604,1
Course,2,Egypt,Ras El-Bar Higher Institute For Qualitative Studies And Computer,Management Information Systems,Team Allocated,2023,7,25,26,604,1
Course,2,United States,Lake Nona High School,Computer Science,Started,2023,3,14,20,604,1
Course,1,India,Muffakham Jah College Of Engineering And Technology,Computer Science,Team Allocated,2023,5,16,24,604,1
Course,1,United States,Dunlap High,Computer Science and Information Systems,Team Allocated,2023,1,5,19,604,1
Course,2,United States,Illinois Institute Of Technology,Computer Science,Started,2023,2,28,26,604,1
Course,1,India,Allen Institute,Other,Started,2023,6,11,21,604,1
Course,2,Ghana,University Of Energy And Natural Resources,Project Management,Started,2023,1,5,30,604,1
Course,2,India,Malla Reddy College Of Engineering And Technology,Computer Science and Engineering,Started,2023,1,18,27,604,1
Course,2,India,Camellia School Of Engineering And Technology,Data Science,Team Allocated,2023,7,9,29,604,1
Course,1,Pakistan,Beaconhouse College Programme Gulberg,Medicine,Started,2023,5,18,21,604,1
Course,2,India,Annamacharya Institute Of Technology And Sciences,Electrical and Electronic Engineering,Team Allocated,2023,7,25,24,604,1
Course,2,Morocco,ثانوية ابن سينا التأهيلية,Information,Started,2023,3,18,20,604,1
Course,1,United States,Saint Louis University,Computer Science and Information Systems,Team Allocated,2023,7,20,26,604,1
Course,2,India,Eiilm,Information Technology,Waitlisted,2023,12,27,41,604,1
Course,1,Zambia,St Louis University,Actuarial Mathematics,Started,2023,3,11,21,604,1
Course,2,India,St. Louis University,Computer Information Systems,Team Allocated,2023,8,12,25,604,1
Course,1,Ghana,Ghana Institute Of Management And Public Administration,Business Administration,Started,2023,7,6,32,604,1
Course,1,United States,Saint Louis University,Computer Science,Team Allocated,2024,1,11,31,604,1
Course,2,United States,Saint Louis University,Information Systems,Team Allocated,2023,8,8,25,604,1
Course,2,Pakistan,Mehran Uet Szab Campus Khairpur Mir'S Sindh Pakistan,Mechanical Engineering,Started,2023,3,24,24,604,1
Course,1,Pakistan,Hamdard University Karachi,Software Engineering,Started,2023,3,16,24,604,1
Course,1,United States,Ladue Horton Watkins High,Biological Sciences,Started,2023,3,7,20,604,1
Course,1,Ethiopia,Addis Ababa University,Urban and Housing Development,Team Allocated,2023,8,20,35,604,1
Course,2,India,Agurchand Manmull Jain College,Computer Science,Started,2023,3,13,22,604,1
Course,2,Ghana,St. Thomas Aquinas Senior High School,Human Resources,Started,2023,6,14,21,604,1
Course,1,United States,Saint Louis University,Cyber Security,Team Allocated,2023,7,13,24,604,1
